,value,metric,type
113,0.02407002838230719,ade,ml
114,1.7085995323075884,ade,ml
115,0.17277787624517968,ade,ml
116,0.24679595586696115,ade,ml
117,0.3152385138981922,ade,ml
118,3.2188230270721205,ade,ml
119,0.027280376994671268,ade,ml
120,0.7704854893947988,ade,ml
121,0.275674006147501,ade,ml
122,0.3466893614725306,ade,ml
123,0.20533063147800587,ade,ml
124,0.23672013138659756,ade,ml
125,0.0315966946619446,ade,ml
126,0.9061781946041481,ade,ml
127,1.3012963656229746,ade,ml
128,0.1557920396440328,ade,ml
129,0.09078733804387296,ade,ml
130,0.4717281415001951,ade,ml
131,0.02511700223452934,ade,ml
132,3.680558497206022,ade,ml
133,0.644015939982896,ade,ml
134,0.1752982869399652,ade,ml
135,0.11029079972191984,ade,ml
136,1.8119007102730313,ade,ml
137,0.024177492816591414,ade,ml
138,0.964288615911831,ade,ml
139,0.16365284855093717,ade,ml
140,0.06279514844999534,ade,ml
141,0.30626933771847603,ade,ml
142,0.20373351539090914,ade,ml
143,0.025278489207219725,ade,ml
144,2.995829143879566,ade,ml
145,3.64778307866035,ade,ml
146,0.15225174907423955,ade,ml
147,0.3213625079782723,ade,ml
148,2.0664425845374677,ade,ml
149,0.026014239947463016,ade,ml
150,0.2831262886124673,ade,ml
151,1.4251238773895103,ade,ml
152,0.1513789833232168,ade,ml
153,0.2613175847502633,ade,ml
154,1.0500716394993328,ade,ml
155,0.026917866748786674,ade,ml
156,1.5159313426095196,ade,ml
157,1.7663956116357824,ade,ml
158,0.0682898031867211,ade,ml
159,0.552854040829713,ade,ml
160,0.8581427039850635,ade,ml
161,0.02577618429657885,ade,ml
162,0.3511150847143613,ade,ml
163,0.5364838216579877,ade,ml
164,0.08553135825580005,ade,ml
165,0.4342531188972743,ade,ml
166,0.7974422335783636,ade,ml
167,0.02332961725636186,ade,ml
168,5.1743074527418464,ade,ml
169,0.3666464287615568,ade,ml
170,0.027112364257573643,ade,ml
171,0.3501345018410076,ade,ml
172,0.7334024101509261,ade,ml
173,0.02002239315017768,ade,ml
174,3.4543377645421796,ade,ml
175,0.13007085102692428,ade,ml
176,0.03333506677222297,ade,ml
177,0.525573649552092,ade,ml
178,1.3341915438628948,ade,ml
179,0.018491979199849913,ade,ml
180,5.946792805235238,ade,ml
181,0.03268947535070888,ade,ml
182,1.1302604410139925,ade,ml
183,0.018978054608575063,ade,ml
184,0.022051090761367086,ade,ml
185,0.030947803420626478,ade,ml
186,0.016811315023719794,ade,ml
187,0.02977686379980261,ade,ml
188,0.017701939088855638,ade,ml
189,0.024386924059261173,ade,ml
190,0.018400904280182918,ade,ml
191,0.02397558925611912,ade,ml
192,0.017770058614442308,ade,ml
193,0.02592726534483235,ade,ml
194,0.01886860246341709,ade,ml
195,0.025895907340056947,ade,ml
196,0.018156876385854035,ade,ml
197,0.025585025140372683,ade,ml
198,0.017438869567199738,ade,ml
199,0.025467314671107594,ade,ml
200,2.2762417046083243,ade,ml
201,0.7971704446728974,ade,ml
202,1.8438377994916728,ade,ml
203,1.1810996395769724,ade,ml
204,4.951686690538774,ade,ml
205,6.434508757287072,ade,ml
206,2.9356846661308857,ade,ml
207,4.006686913037381,ade,ml
208,1.5653941699179972,ade,ml
209,3.3214268552713473,ade,ml
210,1.4037010978620306,ade,ml
211,0.9731799293437029,ade,ml
212,0.31413399864105723,ade,ml
213,1.792592312997506,ade,ml
214,1.449363004324754,ade,ml
215,1.2939295811847658,ade,ml
216,0.27728543901712405,ade,ml
217,1.3396079609401799,ade,ml
218,0.8358812299847251,ade,ml
219,1.810480712476971,ade,ml
220,0.9170462474777256,ade,ml
221,4.078577383172756,ade,ml
222,1.1340982095723822,ade,ml
223,2.1039366886748283,ade,ml
224,1.244366157004244,ade,ml
225,3.08626353743457,ade,ml
226,0.016392549987451762,ade,ml
227,1.6624500816173111,ade,ml
228,1.6116191083123983,ade,ml
229,0.13113695697384775,ade,ml
230,1.5489740658963467,ade,ml
231,1.5040654750456763,ade,ml
232,0.13142761981051485,ade,ml
233,1.7567139876088669,ade,ml
234,2.9233640873543547,ade,ml
235,0.14774201185881408,ade,ml
236,1.5760671050027621,ade,ml
237,1.7291991383804686,ade,ml
238,0.14173650109042626,ade,ml
239,0.9045749223645759,ade,ml
240,0.721690500664328,ade,ml
241,0.1496847780106534,ade,ml
242,0.6200244938149663,ade,ml
243,3.910933789144039,ade,ml
244,0.14117377455203453,ade,ml
245,1.0062017685348337,ade,ml
246,2.825463440649745,ade,ml
247,0.10874419853022933,ade,ml
248,0.48431361230820213,ade,ml
249,1.645806865008513,ade,ml
250,0.07462846839160146,ade,ml
251,0.1937494753405932,ade,ml
252,4.099051895014899,ade,ml
253,0.030338952403633646,ade,ml
254,0.659852593593046,ade,ml
255,1.4420527710849367,ade,ml
256,0.07168745274156409,ade,ml
257,0.4779384761630248,ade,ml
258,0.9368569481020024,ade,ml
259,0.17380812019322447,ade,ml
260,0.29840623618563195,ade,ml
261,1.0230935829161318,ade,ml
262,0.2784714125005642,ade,ml
263,0.5227633944240516,ade,ml
264,0.7566792618799459,ade,ml
265,0.23014776390908664,ade,ml
266,0.49853757654534386,ade,ml
267,0.43488064667257004,ade,ml
268,0.19825223795295036,ade,ml
269,1.1909392718237297,ade,ml
270,0.3156817988463283,ade,ml
271,0.15353299683821311,ade,ml
272,0.7566045302889609,ade,ml
273,0.18921541898129246,ade,ml
274,0.14508556100085668,ade,ml
275,1.3457063609935698,ade,ml
276,0.14891004260330074,ade,ml
277,0.28426182675123823,ade,ml
278,1.1914946845763534,ade,ml
279,0.0661482538935802,ade,ml
280,0.5569852333432866,ade,ml
