,value,metric,type
129,-1.5060486705244671,kde,full
130,0.9032057859977471,kde,full
131,-4.488915268377592,kde,full
132,6.567534872260096,kde,full
133,0.6369445841200719,kde,full
134,-2.432982610678642,kde,full
135,-2.234510107264069,kde,full
136,1.6912034115640606,kde,full
137,-4.551098770970155,kde,full
138,1.3878353200537181,kde,full
139,0.12046131016990726,kde,full
140,-2.897651771400466,kde,full
141,-1.1833198486978556,kde,full
142,-1.1826959029529795,kde,full
143,-4.664272931827528,kde,full
144,2.8325212178677104,kde,full
145,4.2352547353090895,kde,full
146,-2.622078837683185,kde,full
147,-0.852694077563793,kde,full
148,13.441448194792766,kde,full
149,-4.732990784807987,kde,full
150,0.18338990960982826,kde,full
151,2.42208938495687,kde,full
152,-2.5854766861265754,kde,full
153,-0.515304172138454,kde,full
154,0.5339893685932664,kde,full
155,-4.571729897935257,kde,full
156,1.3999112788685626,kde,full
157,1.5893680699804347,kde,full
158,-3.875804837863001,kde,full
159,-0.49959978722073295,kde,full
160,0.43132750959038624,kde,full
161,-4.658835400466099,kde,full
162,0.17810007469390599,kde,full
163,0.17578341267761682,kde,full
164,-3.3848389107434547,kde,full
165,-0.9901053580048595,kde,full
166,0.7020934898254177,kde,full
167,-4.704134238662731,kde,full
168,11.632410390323852,kde,full
169,-0.7223304211590926,kde,full
170,-4.728572186605469,kde,full
171,-1.339585951096312,kde,full
172,1.2793188773132518,kde,full
173,-4.7045678204634465,kde,full
174,3.0143096910201073,kde,full
175,-2.1143127272408795,kde,full
176,-4.489961285976771,kde,full
177,-0.07746440775269203,kde,full
178,5.415300065563312,kde,full
179,-4.550744874139137,kde,full
180,3.8401239380926055,kde,full
181,-4.657570916626716,kde,full
182,3.552080325786223,kde,full
183,-4.639033481607354,kde,full
184,-4.487316903837248,kde,full
185,-4.006596854839726,kde,full
186,-4.613454482246957,kde,full
187,-4.199404935013499,kde,full
188,-4.53105885064496,kde,full
189,-4.426541695477101,kde,full
190,-4.380115993867405,kde,full
191,-4.673929131701668,kde,full
192,-4.6775315116767455,kde,full
193,-4.786818514152335,kde,full
194,-4.671406494094789,kde,full
195,-4.771701857322369,kde,full
196,-4.64297566670969,kde,full
197,-4.679367218822753,kde,full
198,-4.717446083134474,kde,full
199,-4.7395710522844485,kde,full
200,9.102443096393571,kde,full
201,1.4159924054127333,kde,full
202,7.662143133928045,kde,full
203,8.59500632659166,kde,full
204,6.361115984827061,kde,full
205,12.613716421894699,kde,full
206,3.3968685394722407,kde,full
207,3.361762037206591,kde,full
208,2.077890588196929,kde,full
209,12.930500386297531,kde,full
210,2.0576737340334796,kde,full
211,1.3020140871279957,kde,full
212,0.4312021452541348,kde,full
213,7.644796788018502,kde,full
214,3.630816365641964,kde,full
215,7.108852967695299,kde,full
216,-0.08771967602978109,kde,full
217,1.834883760113946,kde,full
218,2.43751805049389,kde,full
219,10.689473192223236,kde,full
220,4.579702833705826,kde,full
221,14.165801252120108,kde,full
222,3.956286693177565,kde,full
223,2.7000233049420626,kde,full
224,4.245892778108116,kde,full
225,3.3202351981235685,kde,full
226,-3.4522733284423492,kde,full
227,7.52346929436751,kde,full
228,5.139867940154461,kde,full
229,-3.480765968229986,kde,full
230,5.951189972744997,kde,full
231,3.1421737247986714,kde,full
232,-3.688453675206303,kde,full
233,9.249933515070646,kde,full
234,4.989145282503793,kde,full
235,-3.6452541285943565,kde,full
236,12.715632705022285,kde,full
237,1.1788348712119103,kde,full
238,-3.8097468702400663,kde,full
239,3.401513954202826,kde,full
240,1.953903343943003,kde,full
241,-3.781937653179279,kde,full
242,1.2677235418821207,kde,full
243,5.04517171724715,kde,full
244,-3.847456055033194,kde,full
245,2.3265193523734613,kde,full
246,7.865911351992188,kde,full
247,-3.9056568411170702,kde,full
248,0.2127838640395019,kde,full
249,2.2677625014936624,kde,full
250,-4.034717675029178,kde,full
251,-1.0507342713560843,kde,full
252,2.5424987423059404,kde,full
253,-4.011694158323817,kde,full
254,0.31170587677707146,kde,full
255,0.7412445522473998,kde,full
256,-3.2311633783423708,kde,full
257,-0.005106064010446332,kde,full
258,0.2946704320906004,kde,full
259,-1.0509656697822964,kde,full
260,-0.7133765516427286,kde,full
261,0.7367817787814923,kde,full
262,-1.9557509126981054,kde,full
263,0.6312306707226909,kde,full
264,0.3559854654193321,kde,full
265,-1.9777200488311557,kde,full
266,0.19180549144790351,kde,full
267,-0.7272154546714604,kde,full
268,-2.5293746203449334,kde,full
269,1.2118393441441135,kde,full
270,-1.470335794475322,kde,full
271,-2.859024025021273,kde,full
272,0.13139735302818834,kde,full
273,-2.315469223855691,kde,full
274,-3.1293022093498397,kde,full
275,0.989968389888837,kde,full
276,-2.8771717250534907,kde,full
277,-0.8137406295476548,kde,full
278,1.5536723535246364,kde,full
279,-4.20093378504061,kde,full
280,1.2834979792830912,kde,full
