,value,metric,type
245,0.0,road_viols,full
246,173.0,road_viols,full
247,1.0,road_viols,full
248,0.0,road_viols,full
249,367.0,road_viols,full
250,0.0,road_viols,full
251,0.0,road_viols,full
252,551.0,road_viols,full
253,0.0,road_viols,full
254,1.0,road_viols,full
255,36.0,road_viols,full
256,0.0,road_viols,full
257,10.0,road_viols,full
258,353.0,road_viols,full
259,0.0,road_viols,full
260,3.0,road_viols,full
261,186.0,road_viols,full
262,1.0,road_viols,full
263,22.0,road_viols,full
264,573.0,road_viols,full
265,0.0,road_viols,full
266,39.0,road_viols,full
267,162.0,road_viols,full
268,0.0,road_viols,full
269,11.0,road_viols,full
270,50.0,road_viols,full
271,1.0,road_viols,full
272,3.0,road_viols,full
273,19.0,road_viols,full
274,0.0,road_viols,full
275,24.0,road_viols,full
276,14.0,road_viols,full
277,0.0,road_viols,full
278,63.0,road_viols,full
279,13.0,road_viols,full
280,1.0,road_viols,full
