,value,metric,type
82,0.07622875137474083,fde,ml
83,0.0848566274192367,fde,ml
84,2.300854174578375,fde,ml
85,0.03894672828480174,fde,ml
86,8.777032871881662,fde,ml
87,6.15132549503917,fde,ml
88,12.574359548739986,fde,ml
89,0.10104589202520817,fde,ml
90,0.07058872774936513,fde,ml
91,2.8292855539013,fde,ml
92,0.014217898404102472,fde,ml
93,1.680050944895772,fde,ml
94,5.23361872181441,fde,ml
95,6.651328555917371,fde,ml
96,0.22029837986379674,fde,ml
97,0.24923549315052326,fde,ml
98,2.4727056194001884,fde,ml
99,0.010990952963485259,fde,ml
100,5.164425856472144,fde,ml
101,3.2277124377477286,fde,ml
102,9.388482933642253,fde,ml
103,0.1983813242816956,fde,ml
104,0.5071473605400693,fde,ml
105,6.691340904653842,fde,ml
106,0.007419084513481679,fde,ml
107,1.6697489460522539,fde,ml
108,0.16250268745986354,fde,ml
109,5.626691171250976,fde,ml
110,0.500064138568152,fde,ml
111,0.36036528565140585,fde,ml
112,2.2735290876976415,fde,ml
113,0.011506673211967605,fde,ml
114,3.7547624336385454,fde,ml
115,0.24057716816430724,fde,ml
116,0.28826752423176055,fde,ml
117,0.3147531881503731,fde,ml
118,6.848062076529598,fde,ml
119,0.02030639374622863,fde,ml
120,1.986004588208864,fde,ml
121,0.41499438311516934,fde,ml
122,0.4029607860630751,fde,ml
123,0.154250512014102,fde,ml
124,0.7051291023324401,fde,ml
125,0.029702736348394425,fde,ml
126,1.970324476906551,fde,ml
127,2.9746376998585946,fde,ml
128,0.1746199809257402,fde,ml
129,0.07064485743285434,fde,ml
130,0.43446132092719975,fde,ml
131,0.014738052101605854,fde,ml
132,7.902854221920615,fde,ml
133,0.7358933157705557,fde,ml
134,0.22594008442689043,fde,ml
135,0.17672375236422105,fde,ml
136,4.228510499922351,fde,ml
137,0.011450847151515805,fde,ml
138,1.5580428002381512,fde,ml
139,0.18942377172663588,fde,ml
140,0.0979780517966832,fde,ml
141,0.3642174339909156,fde,ml
142,0.4115401570241911,fde,ml
143,0.013175941086303948,fde,ml
144,6.641768338038645,fde,ml
145,7.056478313480282,fde,ml
146,0.1751467209020811,fde,ml
147,0.3234302224704287,fde,ml
148,4.298296414721434,fde,ml
149,0.01801231426519025,fde,ml
150,0.6208421617689478,fde,ml
151,2.4451439499355536,fde,ml
152,0.16474978807085947,fde,ml
153,0.3760905270777241,fde,ml
154,1.8780514706490277,fde,ml
155,0.019000541584097235,fde,ml
156,3.265138942505403,fde,ml
157,2.9416863733057217,fde,ml
158,0.09076276190938286,fde,ml
159,0.7092184612125013,fde,ml
160,1.717705293739029,fde,ml
161,0.015522012037971865,fde,ml
162,0.9264538401422685,fde,ml
163,0.8577541927474815,fde,ml
164,0.09485378843305464,fde,ml
165,0.5143881331433918,fde,ml
166,1.5651888293297291,fde,ml
167,0.010511252950391549,fde,ml
168,10.561125919838204,fde,ml
169,0.5859554450804954,fde,ml
170,0.032031220936312194,fde,ml
171,0.5644381027268226,fde,ml
172,2.0766066866293893,fde,ml
173,0.008190668167405806,fde,ml
174,5.5885647484534005,fde,ml
175,0.2479288998100851,fde,ml
176,0.046455223275565984,fde,ml
177,1.6435606818444213,fde,ml
178,3.198367346361652,fde,ml
179,0.002859908164313433,fde,ml
180,12.932912961971317,fde,ml
181,0.046103623165090646,fde,ml
182,3.5882936143184496,fde,ml
183,0.004870998643559141,fde,ml
184,0.008478158820042265,fde,ml
185,0.07333938427874143,fde,ml
186,0.0029343867119198453,fde,ml
187,0.029689847981567444,fde,ml
188,0.011272515826314661,fde,ml
189,0.022853352072702737,fde,ml
190,0.013234234157767191,fde,ml
191,0.022636640748086113,fde,ml
192,0.005264484089495538,fde,ml
193,0.027934423721622414,fde,ml
194,0.00721311300949548,fde,ml
195,0.02720575233237841,fde,ml
196,0.0023323058025843182,fde,ml
197,0.026522407485017652,fde,ml
198,0.0025448349471754177,fde,ml
199,0.026011270764721296,fde,ml
200,4.3476030557104215,fde,ml
201,1.621507959319122,fde,ml
202,3.989300091488037,fde,ml
203,2.1843486135704864,fde,ml
204,9.513162762165663,fde,ml
205,12.482372318821819,fde,ml
206,6.150566104482748,fde,ml
207,8.604632361039858,fde,ml
208,2.686476253752789,fde,ml
209,7.505217983684708,fde,ml
210,3.0789122590092313,fde,ml
211,2.1756313693410374,fde,ml
212,0.3885165634598366,fde,ml
213,3.3427846243957373,fde,ml
214,3.210220690262427,fde,ml
215,2.758900096257448,fde,ml
216,0.41297845767415514,fde,ml
217,3.651632216652003,fde,ml
218,1.8350608387273972,fde,ml
219,3.589323031036688,fde,ml
220,2.1907758173060135,fde,ml
221,8.639879099545459,fde,ml
222,2.7829808998445853,fde,ml
223,3.212647502070818,fde,ml
224,3.0106552279372774,fde,ml
225,6.7230753561724885,fde,ml
226,0.031657288648752904,fde,ml
227,3.9345545203577177,fde,ml
228,3.9413694000323627,fde,ml
229,0.30579684653178507,fde,ml
230,3.542407988796351,fde,ml
231,3.1648262575722015,fde,ml
232,0.30034702305120875,fde,ml
233,3.673906577523715,fde,ml
234,6.983442259752252,fde,ml
235,0.3190096480763153,fde,ml
236,2.8541845187656962,fde,ml
237,4.17372512086768,fde,ml
238,0.3159174844878761,fde,ml
239,1.678053842033443,fde,ml
240,0.8680901264202957,fde,ml
241,0.326168366630364,fde,ml
242,1.586201579620614,fde,ml
243,8.701832682786236,fde,ml
244,0.25141218023228823,fde,ml
245,2.3054091610606093,fde,ml
246,5.859702390697757,fde,ml
247,0.16087004063508947,fde,ml
248,0.9369952708413581,fde,ml
249,2.0376957340274813,fde,ml
250,0.08946009206818203,fde,ml
251,0.588993216614789,fde,ml
252,8.807606521402619,fde,ml
253,0.037431571445635636,fde,ml
254,1.6462033478711584,fde,ml
255,2.6854609031342664,fde,ml
256,0.08930758198852229,fde,ml
257,1.302580917885288,fde,ml
258,1.7086674589233943,fde,ml
259,0.1857975299800111,fde,ml
260,0.7683184586064917,fde,ml
261,1.5949635608158301,fde,ml
262,0.3463664209585946,fde,ml
263,1.036786083356743,fde,ml
264,1.0224061556402007,fde,ml
265,0.2523163018578947,fde,ml
266,1.115691252311097,fde,ml
267,0.6564716212874709,fde,ml
268,0.23025538916963204,fde,ml
269,2.325304360743174,fde,ml
270,0.38705883180951683,fde,ml
271,0.1698494563247011,fde,ml
272,1.2866698738602091,fde,ml
273,0.22676811677123887,fde,ml
274,0.36338861330273003,fde,ml
275,3.1257351158803814,fde,ml
276,0.1984628136312589,fde,ml
277,0.888697529954687,fde,ml
278,3.167515055306824,fde,ml
279,0.09138050408108889,fde,ml
280,1.7433524411020833,fde,ml
